#,Source,Question,Answer,Time,Guess Marker,Correct
1,2000 AMC 12, Problem 10,E,03:27,,
2,2001 AMC 12, Problem 10,D,01:09,,
3,2002 AMC 12A, Problem 10,D,01:42,,
4,2002 AMC 12B, Problem 10,B,01:45,,
5,2003 AMC 12A, Problem 10,D,01:23,,
6,2003 AMC 12B, Problem 10,B,00:31,,
7,2004 AMC 12A, Problem 10,C,03:58,,
8,2004 AMC 12B, Problem 10,A,00:37,,
9,2005 AMC 12A, Problem 10,B,05:14,,
10,2005 AMC 12B, Problem 10,E,02:06,,
11,2006 AMC 12A, Problem 10,,,,
12,2006 AMC 12B, Problem 10,,,,
13,2007 AMC 12A, Problem 10,,,,
14,2007 AMC 12B, Problem 10,,,,
15,2008 AMC 12A, Problem 10,,,,
16,2008 AMC 12B, Problem 10,,,,
17,2009 AMC 12A, Problem 10,,,,
18,2009 AMC 12B, Problem 10,,,,
19,2010 AMC 12A, Problem 10,,,,
20,2010 AMC 12B, Problem 10,,,,
21,2011 AMC 12A, Problem 10,,,,
22,2011 AMC 12B, Problem 10,,,,
23,2012 AMC 12A, Problem 10,,,,
24,2012 AMC 12B, Problem 10,,,,
25,2013 AMC 12A, Problem 10,,,,
26,2013 AMC 12B, Problem 10,,,,
27,2014 AMC 12A, Problem 10,,,,
28,2014 AMC 12B, Problem 10,,,,
29,2015 AMC 12A, Problem 10,,,,
30,2015 AMC 12B, Problem 10,,,,
31,2016 AMC 12A, Problem 10,,,,
32,2016 AMC 12B, Problem 10,,,,
33,2017 AMC 12A, Problem 10,,,,
34,2017 AMC 12B, Problem 10,,,,
35,2018 AMC 12A, Problem 10,,,,
36,2018 AMC 12B, Problem 10,,,,
37,2019 AMC 12A, Problem 10,,,,
38,2019 AMC 12B, Problem 10,,,,
39,2020 AMC 12A, Problem 10,,,,
40,2020 AMC 12B, Problem 10,,,,  
41,2021 AMC 12A, Problem 10,,,,
42,2021 AMC 12B, Problem 10,,,
43,2022 AMC 12A, Problem 10,,,,
44,2022 AMC 12B, Problem 10,,,,
45,2023 AMC 12A, Problem 10,,,,
46,2023 AMC 12B, Problem 10,,,,
47,2024 AMC 12A, Problem 10,,,,
48,2024 AMC 12B, Problem 10,,,,
49,2025 AMC 12A, Problem 10,,,,
50,2025 AMC 12B, Problem 10,,,,